edge_id,start_lat,start_lon,end_lat,end_lon
-84368495#1,10.313575934272038,47.716192352628774,10.313578457768426,47.716191963824414
-8653161#1,10.311122308645723,47.7236863816062,10.31110448497819,47.723821013047164
-8656120,10.310230140826988,47.72939931285729,10.310060481132158,47.72842543482933
-8748187#0,10.310701257915701,47.73273446742745,10.310895131139132,47.73138284804563
-8748187#1,10.309730985765741,47.73500571077724,10.310700514350602,47.73273672537837
-884310379,10.311011397935975,47.71432961484033,10.312074737091635,47.71665294345438
-884310380#0,10.311330566492195,47.71367560236701,10.311027535268204,47.714308555422754
-884310380#1,10.311354918712953,47.712536734958746,10.311385791906359,47.713559888576015
-886442093,10.311359423686193,47.71251436877766,10.311359735392829,47.71251616478707
-886442094,10.311344572737134,47.7124166417954,10.311353464807492,47.71249473156987
-889606810,10.320681406496082,47.716479158129566,10.321229725054888,47.719645489126776
-89033868,10.316637512451504,47.73018409323289,10.315567627921483,47.73020959155178
-997012998,10.311335385300566,47.72262328077505,10.31129641983355,47.72280278320108
1033467868,10.314967532679463,47.73010831625934,10.315377221660901,47.73011851189308
1049452852#1,10.311566950908196,47.720012968055535,10.311779085874758,47.71789883746428
1049452853,10.311779542278904,47.71789577297664,10.312034975043867,47.71666770472819
10550902,10.326006439305935,47.715651663518145,10.326050394041486,47.715870613338105
1118411055#1,10.306379204068948,47.72201685512761,10.30796375360628,47.72272043041766
1118411056#1,10.307967120102001,47.72272174171854,10.310483697925592,47.72374478483297
1207092159,10.29364992136243,47.71625759232026,10.294834712068877,47.716672705554565
1207092160#0,10.303421235725025,47.72477018230073,10.30265387524777,47.72396585187171
1207092161#0,10.30380406608403,47.725159308358464,10.303494267299016,47.724848533651645
1207092163#0,10.304411264192469,47.727638959433335,10.304428324210276,47.72720066088911
1207092163#1,10.304428532446375,47.72719831908454,10.304432908106154,47.727085166545265
1207092166,10.309583239133902,47.73811843952798,10.309955660381588,47.73799379771177
1207092168,10.310051229824523,47.7379618441204,10.310277220933289,47.73788620147562
